Neighbor info at step 0: radial(max=1000,actual=826), angular(max=163,actual=112).
Neighbor info at step 1000: radial(max=1000,actual=832), angular(max=163,actual=109).
Neighbor info at step 2000: radial(max=1000,actual=820), angular(max=163,actual=107).
Neighbor info at step 3000: radial(max=1000,actual=815), angular(max=163,actual=107).
Neighbor info at step 4000: radial(max=1000,actual=815), angular(max=163,actual=107).
Neighbor info at step 5000: radial(max=1000,actual=814), angular(max=163,actual=106).
Neighbor info at step 6000: radial(max=1000,actual=814), angular(max=163,actual=105).
Neighbor info at step 7000: radial(max=1000,actual=812), angular(max=163,actual=108).
Neighbor info at step 8000: radial(max=1000,actual=815), angular(max=163,actual=106).
Neighbor info at step 9000: radial(max=1000,actual=812), angular(max=163,actual=107).
Neighbor info at step 10000: radial(max=1000,actual=815), angular(max=163,actual=107).
Neighbor info at step 11000: radial(max=1000,actual=816), angular(max=163,actual=106).
Neighbor info at step 12000: radial(max=1000,actual=813), angular(max=163,actual=106).
Neighbor info at step 13000: radial(max=1000,actual=815), angular(max=163,actual=106).
Neighbor info at step 14000: radial(max=1000,actual=813), angular(max=163,actual=105).
Neighbor info at step 15000: radial(max=1000,actual=814), angular(max=163,actual=106).
Neighbor info at step 16000: radial(max=1000,actual=813), angular(max=163,actual=106).
Neighbor info at step 17000: radial(max=1000,actual=813), angular(max=163,actual=105).
Neighbor info at step 18000: radial(max=1000,actual=814), angular(max=163,actual=106).
Neighbor info at step 19000: radial(max=1000,actual=815), angular(max=163,actual=106).
Neighbor info at step 20000: radial(max=1000,actual=814), angular(max=163,actual=105).
Neighbor info at step 21000: radial(max=1000,actual=813), angular(max=163,actual=106).
Neighbor info at step 22000: radial(max=1000,actual=814), angular(max=163,actual=106).
Neighbor info at step 23000: radial(max=1000,actual=814), angular(max=163,actual=105).
Neighbor info at step 24000: radial(max=1000,actual=814), angular(max=163,actual=106).
Neighbor info at step 25000: radial(max=1000,actual=814), angular(max=163,actual=106).
Neighbor info at step 26000: radial(max=1000,actual=813), angular(max=163,actual=106).
Neighbor info at step 27000: radial(max=1000,actual=814), angular(max=163,actual=106).
Neighbor info at step 28000: radial(max=1000,actual=815), angular(max=163,actual=106).
Neighbor info at step 29000: radial(max=1000,actual=814), angular(max=163,actual=107).
Neighbor info at step 30000: radial(max=1000,actual=814), angular(max=163,actual=106).
Neighbor info at step 31000: radial(max=1000,actual=814), angular(max=163,actual=106).
Neighbor info at step 32000: radial(max=1000,actual=813), angular(max=163,actual=106).
Neighbor info at step 33000: radial(max=1000,actual=813), angular(max=163,actual=106).
Neighbor info at step 34000: radial(max=1000,actual=813), angular(max=163,actual=106).
Neighbor info at step 35000: radial(max=1000,actual=813), angular(max=163,actual=106).
Neighbor info at step 36000: radial(max=1000,actual=813), angular(max=163,actual=106).
Neighbor info at step 37000: radial(max=1000,actual=814), angular(max=163,actual=106).
Neighbor info at step 38000: radial(max=1000,actual=815), angular(max=163,actual=106).
Neighbor info at step 39000: radial(max=1000,actual=813), angular(max=163,actual=105).
Neighbor info at step 40000: radial(max=1000,actual=813), angular(max=163,actual=107).
Neighbor info at step 41000: radial(max=1000,actual=812), angular(max=163,actual=107).
Neighbor info at step 42000: radial(max=1000,actual=813), angular(max=163,actual=105).
Neighbor info at step 43000: radial(max=1000,actual=814), angular(max=163,actual=106).
Neighbor info at step 44000: radial(max=1000,actual=815), angular(max=163,actual=107).
Neighbor info at step 45000: radial(max=1000,actual=813), angular(max=163,actual=105).
Neighbor info at step 46000: radial(max=1000,actual=814), angular(max=163,actual=106).
Neighbor info at step 47000: radial(max=1000,actual=814), angular(max=163,actual=106).
Neighbor info at step 48000: radial(max=1000,actual=815), angular(max=163,actual=106).
Neighbor info at step 49000: radial(max=1000,actual=813), angular(max=163,actual=106).
Neighbor info at step 50000: radial(max=1000,actual=813), angular(max=163,actual=105).
Neighbor info at step 51000: radial(max=1000,actual=815), angular(max=163,actual=106).
Neighbor info at step 52000: radial(max=1000,actual=814), angular(max=163,actual=106).
Neighbor info at step 53000: radial(max=1000,actual=813), angular(max=163,actual=106).
Neighbor info at step 54000: radial(max=1000,actual=813), angular(max=163,actual=107).
Neighbor info at step 55000: radial(max=1000,actual=814), angular(max=163,actual=106).
Neighbor info at step 56000: radial(max=1000,actual=813), angular(max=163,actual=106).
Neighbor info at step 57000: radial(max=1000,actual=813), angular(max=163,actual=106).
Neighbor info at step 58000: radial(max=1000,actual=814), angular(max=163,actual=106).
Neighbor info at step 59000: radial(max=1000,actual=813), angular(max=163,actual=107).
Neighbor info at step 60000: radial(max=1000,actual=813), angular(max=163,actual=107).
